,country,province,region_1,Lat,Lng
32093,Italy,Central Italy,Colli di Faenza,44.2898527,11.8774091
32271,Spain,Catalonia,Catalonia,41.5911589,1.5208624
32280,US,Virginia,Albemarle County,38.0567092,-78.6114999
32373,Italy,Sicily & Sardinia,Nuragus di Cagliari,39.7772646,9.0396465
32547,Australia,South Australia,Southern Flinders Ranges,-31.4166667,138.75
32617,Spain,Northern Spain,Vino Tierra de León,42.5987041,-5.5670839
32691,France,France Other,Crémant de Jura,46.227638,2.213749
32954,US,California,Malibu-Newton Canyon,34.0809642,-118.8021153
33274,Australia,Victoria,Goulburn Valley,-36.8212556,145.5833979
33422,Italy,Veneto,Marca Trevigiana,45.8988492,12.1759442
33481,France,Rhône Valley,Saint-Péray,44.9290335,4.8273718
33483,France,Rhône Valley,Beaumes-de-Venise,44.1199319,5.0140156
33658,Spain,Northern Spain,Ribera del Queiles,41.93093959999999,-1.7540382
33792,France,Loire Valley,Vin de Pays du Val de Loire,47.4829946,-0.5418098
33819,Australia,South Australia,Riverland,-34.3142878,139.8547266
33998,France,Loire Valley,Quarts de Chaume,47.3176766,-0.6432268
34069,France,Loire Valley,Chaume,47.2586386,0.884795
34161,US,California,California-Washington,39.3590873,-120.7999351
34181,Italy,Tuscany,Vin Santo di Montepulciano,43.1735657,11.9332981
34313,Italy,Central Italy,Colline Teatine,41.87194,12.56738
34365,France,Burgundy,Echézeaux,47.165362,4.979823
34493,Italy,Northeastern Italy,Colli Trevigiani,45.8230494,11.8564226
34712,France,Loire Valley,Pouilly-sur-Loire,47.283935,2.955667
34788,Spain,Northern Spain,Vino de la Tierra Ribera del Jiloca,40.8706822,-1.2891036
34837,Italy,Tuscany,San Gimignano,43.4676324,11.0434909
34956,Italy,Northeastern Italy,Friuli Aquileia,45.76816909999999,13.3687199
35016,France,Loire Valley,Vin de Pays du Jardin de la France,46.227638,2.213749
35065,Italy,Northeastern Italy,Garda,45.6049385,10.6351414
35115,Italy,Central Italy,Montefalco,42.88929359999999,12.6502843
35158,US,California,McDowell Valley,38.97656480000001,-123.0619456
35188,Italy,Veneto,Bardolino,45.5453076,10.6914197
35200,France,Loire Valley,Anjou Villages,47.4503819,-0.5709138
35203,US,Ohio,Ohio,40.4172871,-82.90712300000001
35238,Italy,Tuscany,Chianti Colli Pisani,43.7710513,11.2486208
35535,France,Languedoc-Roussillon,Vin de Pays des Coteaux de Bessilles,43.5912356,3.2583626
35659,Italy,Veneto,Valdadige,45.5485791,10.8232604
35678,US,California,Solano County,38.3104969,-121.9017954
35721,Italy,Veneto,Bardolino Classico,45.5453076,10.6914197
35739,France,Rhône Valley,Côtes du Luberon,43.796111,5.223889
35785,France,Burgundy,Burgundy,47.0525047,4.3837215
35803,Canada,Ontario,Lake Erie North Shore,42.0668852,-81.3399414
36142,Italy,Piedmont,Casorzo,45.02123479999999,8.3371719
36280,US,California,Jahant,38.2072669,-121.1826212
36587,Australia,Victoria,Grampians,-37.2108819,142.3979571
36705,Canada,Ontario,Short Hills Bench,43.1076511,-79.2871392
37812,France,Loire Valley,Coteaux du Layon Beaulieu,47.3236158,-0.6185058999999999
37909,US,Virginia,Virginia's Eastern Shore,37.136425,-75.96459999999999
38067,France,Burgundy,Clos de la Roche,40.7684892,-73.9589049
38116,France,Languedoc-Roussillon,Vallée du Paradis,43.5912356,3.2583626
38186,Spain,Central Spain,Finca Élez,40.46366700000001,-3.74922
39050,France,Bordeaux,Côtes de Bordeaux,46.340132,-72.604259
39119,France,Bordeaux,Moulis-en-Médoc,45.0853331,-0.7454046
39219,France,France Other,Savoie,45.4932045,6.472399999999999
39306,France,Burgundy,Chambertin Clos de Bèze,47.465224,5.275158999999999
39511,Italy,Southern Italy,Taburno,41.1308729,14.6472491
39648,Italy,Piedmont,Dolcetto d'Acqui,44.67638460000001,8.4670285
40239,US,California,Saddle Rock-Malibu,34.0990408,-118.8207158
40535,France,Bordeaux,Canon-Fronsac,44.9252406,-0.3016586
41514,France,Bordeaux,Entre-Deux-Mers,44.8464094,-0.5392778000000001
41906,Italy,Central Italy,Orvieto Classico,42.7185068,12.1107446
41907,France,France Other,Vin de Pays de l'Ile de Beauté,46.227638,2.213749
42047,Italy,Southern Italy,Penisola Sorrentina,40.6569836,14.5422225
42223,Italy,Southern Italy,Martina,40.7028666,17.3392645
42983,Argentina,Other,Aminga Valley,-28.8473265,-66.9298632
43342,Italy,Veneto,Monti Lessini,45.6833333,11.2166667
43484,France,Burgundy,Mazis-Chambertin,47.224058,4.969597
43817,US,California,Napa County-Sonoma County-Lake County,38.758012,-122.6235144
43837,France,Burgundy,Hautes Côtes de Nuits,47.1492182,4.890554799999999
44498,France,Rhône Valley,Côtes-du-Ventoux,45.914456,5.189846999999999
44528,US,California,Santa Barbara-Monterey,36.4397212,-121.3183599
44627,France,Languedoc-Roussillon,Vin de Pays de Hauterive,47.01564279999999,6.9725091
44656,France,Burgundy,Petit Chablis,47.8120357,3.8024908
44771,France,Languedoc-Roussillon,Muscat de Rivesaltes,42.7468364,2.903213
44795,Italy,Lombardy,Lombardy,45.47906709999999,9.8452433
44853,France,Loire Valley,Cheverny,47.49973,1.46013
45018,Italy,Northeastern Italy,Garda Classico,45.6049385,10.6351414
45064,US,California,Napa-Sonoma-Marin,38.291859,-122.4580356
45536,France,Rhône Valley,Vin Doux Naturel Rasteau,44.231277,4.986897
45754,US,California,Lake County-Mendocino County,39.2173837,-123.171699
45947,France,France Other,Vin de Pays des Coteaux de L'Ardeche,44.3064362,4.6275656
45949,France,Loire Valley,Muscadet Coteaux de la Loire,48.014277,3.088529
46074,Spain,Central Spain,Toledo,39.9342662,-4.8958317
46119,France,Languedoc-Roussillon,Vin de Pays de Montferrand,43.36530399999999,1.821456
46294,Italy,Northeastern Italy,Del Veneto,45.5409347,11.5094999
46740,Canada,Ontario,Niagara Escarpment,44.7180522,-87.5950953
47052,France,Rhône Valley,Vin de Pays de Vaucluse,44.0565054,5.1432068
47065,US,Vermont,Vermont,44.5588028,-72.57784149999999
47583,US,Connecticut,Western Connecticut Highlands,41.2531719,-72.96608499999999
47706,Italy,Central Italy,Colline Teramane,41.87194,12.56738
48018,US,California,Napa Valley-Paso Robles,35.6444393,-120.6893353
